,emb1_scaled,emb2_scaled,Timestamp,Compound,Compound_Concentration,Growth_Condition_Binary
0,0.61172235,0.24454525,8.733333333333333,2AD5Cl-3Cl,0.01,0
1,0.5886261,0.24553566,8.733333333333333,2AD5Cl-3Cl,0.01,0
2,0.6243202,0.2580818,8.733333333333333,2AD5Cl-3Cl,0.01,0
3,0.64254713,0.23408276,8.733333333333333,2AD5Cl-3Cl,0.01,0
4,0.562983,0.24798812,8.733333333333333,2AD5Cl-3Cl,0.01,0
5,0.58399856,0.26298606,8.733333333333333,2AD5Cl-3Cl,0.01,0
6,0.58723164,0.2832346,8.733333333333333,2AD5Cl-3Cl,0.01,0
7,0.6856723,0.23994742,8.733333333333333,2AD5Cl-3Cl,0.01,0
8,0.58023685,0.23588496,8.733333333333333,2AD5Cl-3Cl,0.01,0
9,0.6927713,0.19364743,8.733333333333333,2AD5Cl-3Cl,0.01,0
10,0.4294752,0.26016018,8.733333333333333,2AD5Cl-3Cl,0.01,0
11,0.696007,0.30552363,8.733333333333333,2AD5Cl-3Cl,0.01,0
12,0.51635206,0.18556617,8.733333333333333,2AD5Cl-3Cl,0.01,0
13,0.83919585,0.08766943,8.733333333333333,2AD5Cl-3Cl,0.01,0
14,0.76273286,0.3160872,8.733333333333333,2AD5Cl-3Cl,0.01,0
15,0.6525378,0.27082098,8.733333333333333,2AD5Cl-3Cl,0.01,0
16,0.6560306,0.32563937,8.733333333333333,2AD5Cl-3Cl,0.01,0
17,0.35230216,0.16889232,8.733333333333333,2AD5Cl-3Cl,0.01,0
18,0.66096145,0.24431352,8.733333333333333,2AD5Cl-3Cl,0.01,0
19,0.7780429,0.1835695,8.733333333333333,2AD5Cl-3Cl,0.01,0
20,0.80144674,0.24194336,8.733333333333333,2AD5Cl-3Cl,0.01,0
21,0.5240927,0.38405913,8.733333333333333,2AD5Cl-3Cl,0.01,0
22,0.60367304,0.3197164,8.733333333333333,2AD5Cl-3Cl,0.01,0
23,0.5167728,0.13084751,8.733333333333333,2AD5Cl-3Cl,0.01,0
24,0.52661836,0.056073487,8.733333333333333,2AD5Cl-3Cl,0.01,0
25,0.7422945,0.17885081,8.733333333333333,2AD5Cl-3Cl,0.01,0
26,0.7326571,0.124028206,8.733333333333333,2AD5Cl-3Cl,0.01,0
27,0.6264839,0.30021846,8.733333333333333,2AD5Cl-3Cl,0.01,0
28,0.64535904,0.4827692,8.733333333333333,2AD5Cl-3Cl,0.01,0
29,0.43573204,0.2973389,8.733333333333333,2AD5Cl-3Cl,0.01,0
30,0.6566456,0.2208464,8.733333333333333,2AD5Cl-3Cl,0.01,0
31,0.6896907,0.18881062,8.733333333333333,2AD5Cl-3Cl,0.01,0
32,0.589931,0.18843265,8.733333333333333,2AD5Cl-3Cl,0.01,0
33,0.7285386,0.31285903,8.733333333333333,2AD5Cl-3Cl,0.01,0
34,0.5840561,0.17104742,8.733333333333333,2AD5Cl-3Cl,0.01,0
35,0.41458783,0.38280383,8.733333333333333,2AD5Cl-3Cl,0.01,0
36,0.6484152,0.38126782,8.733333333333333,2AD5Cl-3Cl,0.01,0
37,0.6617414,0.45023805,8.733333333333333,2AD5Cl-3Cl,0.01,0
38,0.6231208,0.3173877,8.733333333333333,2AD5Cl-3Cl,0.01,0
39,0.6489903,0.26390487,8.733333333333333,2AD5Cl-3Cl,0.01,0
40,0.5782794,0.32669738,8.733333333333333,2AD5Cl-3Cl,0.01,0
41,0.4755389,0.29833183,8.733333333333333,2AD5Cl-3Cl,0.01,0
42,0.6926318,0.24672465,8.733333333333333,2AD5Cl-3Cl,0.01,0
43,0.6173705,0.4643581,8.733333333333333,2AD5Cl-3Cl,0.01,1
44,0.5866381,0.41404533,8.733333333333333,2AD5Cl-3Cl,0.01,1
45,0.7351086,0.36249363,8.733333333333333,2AD5Cl-3Cl,0.01,1
46,0.5923475,0.32383287,8.733333333333333,2AD5Cl-3Cl,0.01,1
47,0.5123578,0.38179275,8.733333333333333,2AD5Cl-3Cl,0.01,1
48,0.5784011,0.49973723,8.733333333333333,2AD5Cl-3Cl,0.01,1
49,0.58043915,0.34993702,8.733333333333333,2AD5Cl-3Cl,0.01,1
50,0.33449712,0.29020944,8.733333333333333,2AD5Cl-3Cl,0.01,1
51,0.7107987,0.29752755,8.733333333333333,2AD5Cl-3Cl,0.01,1
52,0.5838706,0.23284483,8.733333333333333,2AD5Cl-3Cl,0.01,1
53,0.5038814,0.3013769,8.733333333333333,2AD5Cl-3Cl,0.01,1
54,0.45711413,0.3831616,8.733333333333333,2AD5Cl-3Cl,0.01,1
55,0.59430933,0.38428172,8.733333333333333,2AD5Cl-3Cl,0.01,1
56,0.5720191,0.4178807,8.733333333333333,2AD5Cl-3Cl,0.01,1
57,0.3777697,0.48814213,8.733333333333333,2AD5Cl-3Cl,0.01,1
58,0.5147923,0.3366971,8.733333333333333,2AD5Cl-3Cl,0.01,1
59,0.6325401,0.26271498,8.733333333333333,2AD5Cl-3Cl,0.01,1
60,0.6199836,0.43619424,8.733333333333333,2AD5Cl-3Cl,0.01,1
61,0.54364747,0.23537901,8.733333333333333,2AD5Cl-3Cl,0.01,1
62,0.6078192,0.40529042,8.733333333333333,2AD5Cl-3Cl,0.01,1
63,0.65631586,0.30330595,8.733333333333333,2AD5Cl-3Cl,0.01,1
64,0.38958475,0.4088107,8.733333333333333,2AD5Cl-3Cl,0.01,1
65,0.4865914,0.3295332,8.733333333333333,2AD5Cl-3Cl,0.01,1
66,0.4594696,0.42384282,8.733333333333333,2AD5Cl-3Cl,0.01,1
67,0.56192935,0.24441938,8.733333333333333,2AD5Cl-3Cl,0.01,1
68,0.5455446,0.26710382,8.733333333333333,2AD5Cl-3Cl,0.01,1
69,0.5596904,0.34161267,8.733333333333333,2AD5Cl-3Cl,0.01,1
70,0.5619255,0.3034819,8.733333333333333,2AD5Cl-3Cl,0.01,1
71,0.5445635,0.45932868,8.733333333333333,2AD5Cl-3Cl,0.01,1
72,0.62909687,0.33886904,8.733333333333333,2AD5Cl-3Cl,0.01,1
73,0.68562365,0.35481167,8.733333333333333,2AD5Cl-3Cl,0.01,1
74,0.6203567,0.33572948,8.733333333333333,2AD5Cl-3Cl,0.01,1
75,0.49519357,0.30890125,8.733333333333333,2AD5Cl-3Cl,0.01,1
76,0.5736901,0.48786616,8.733333333333333,2AD5Cl-3Cl,0.01,1
77,0.42831138,0.4939908,8.733333333333333,2AD5Cl-3Cl,0.01,1
78,0.5954977,0.40802914,8.733333333333333,2AD5Cl-3Cl,0.01,1
79,0.4885338,0.34604716,8.733333333333333,2AD5Cl-3Cl,0.01,1
