,emb1,emb2,Timestamp,Compound,Compound_Concentration,Growth_Condition_Binary
0,0.027182242,0.014223697,8.733333333333333,2AD5Cl-3Cl,0.01,0
1,-0.017363766,-0.012439053,8.733333333333333,2AD5Cl-3Cl,0.01,0
2,0.010542736,0.020734603,8.733333333333333,2AD5Cl-3Cl,0.01,0
3,0.014628307,0.0011670868,8.733333333333333,2AD5Cl-3Cl,0.01,0
4,0.033428717,0.009556046,8.733333333333333,2AD5Cl-3Cl,0.01,0
5,0.02147909,0.005436482,8.733333333333333,2AD5Cl-3Cl,0.01,0
6,0.021471515,0.038436837,8.733333333333333,2AD5Cl-3Cl,0.01,0
7,-0.00095559855,0.0030356797,8.733333333333333,2AD5Cl-3Cl,0.01,0
8,0.029951941,0.025861707,8.733333333333333,2AD5Cl-3Cl,0.01,0
9,0.03876367,-0.0045930496,8.733333333333333,2AD5Cl-3Cl,0.01,0
10,-0.028960327,-0.0070880335,8.733333333333333,2AD5Cl-3Cl,0.01,0
11,0.023788018,0.013719907,8.733333333333333,2AD5Cl-3Cl,0.01,0
12,0.026318548,0.03370135,8.733333333333333,2AD5Cl-3Cl,0.01,0
13,0.022036975,0.029784855,8.733333333333333,2AD5Cl-3Cl,0.01,0
14,0.023071622,0.0012401894,8.733333333333333,2AD5Cl-3Cl,0.01,0
15,0.036452953,-0.00805096,8.733333333333333,2AD5Cl-3Cl,0.01,0
16,-0.00314354,-0.010004308,8.733333333333333,2AD5Cl-3Cl,0.01,0
17,-0.017389921,-0.013031904,8.733333333333333,2AD5Cl-3Cl,0.01,0
18,0.013372659,0.014993438,8.733333333333333,2AD5Cl-3Cl,0.01,0
19,0.021929814,0.026620425,8.733333333333333,2AD5Cl-3Cl,0.01,0
20,0.031014957,0.0289685,8.733333333333333,2AD5Cl-3Cl,0.01,0
21,0.0341247,0.0039039643,8.733333333333333,2AD5Cl-3Cl,0.01,0
22,0.025005868,0.012601738,8.733333333333333,2AD5Cl-3Cl,0.01,0
23,-0.036722012,-0.00750424,8.733333333333333,2AD5Cl-3Cl,0.01,0
24,-0.0072562518,-0.004969388,8.733333333333333,2AD5Cl-3Cl,0.01,0
25,0.03245708,0.012148874,8.733333333333333,2AD5Cl-3Cl,0.01,0
26,0.025457,0.017324798,8.733333333333333,2AD5Cl-3Cl,0.01,0
27,0.034265812,0.0018705103,8.733333333333333,2AD5Cl-3Cl,0.01,0
28,0.019041363,-0.0067642923,8.733333333333333,2AD5Cl-3Cl,0.01,0
29,0.017362395,0.029006032,8.733333333333333,2AD5Cl-3Cl,0.01,0
30,0.007524132,0.0056332476,8.733333333333333,2AD5Cl-3Cl,0.01,0
31,0.018618736,0.020159634,8.733333333333333,2AD5Cl-3Cl,0.01,0
32,0.016488064,0.015150663,8.733333333333333,2AD5Cl-3Cl,0.01,0
33,0.029160457,0.02954894,8.733333333333333,2AD5Cl-3Cl,0.01,0
34,0.028591152,0.029756395,8.733333333333333,2AD5Cl-3Cl,0.01,0
35,0.0093658725,-0.0068469634,8.733333333333333,2AD5Cl-3Cl,0.01,0
36,-0.0025693432,0.014900347,8.733333333333333,2AD5Cl-3Cl,0.01,0
37,0.021941358,0.025624614,8.733333333333333,2AD5Cl-3Cl,0.01,0
38,0.023655135,0.01900494,8.733333333333333,2AD5Cl-3Cl,0.01,0
39,0.028946605,0.018787703,8.733333333333333,2AD5Cl-3Cl,0.01,0
40,0.020205406,0.02084959,8.733333333333333,2AD5Cl-3Cl,0.01,0
41,0.029699098,0.032455333,8.733333333333333,2AD5Cl-3Cl,0.01,0
42,0.025087817,0.038298152,8.733333333333333,2AD5Cl-3Cl,0.01,0
43,-0.016929656,-0.012986525,8.733333333333333,2AD5Cl-3Cl,0.01,1
44,0.02626264,-0.010999379,8.733333333333333,2AD5Cl-3Cl,0.01,1
45,0.014037931,-0.0031710838,8.733333333333333,2AD5Cl-3Cl,0.01,1
46,0.008953584,-0.0005568428,8.733333333333333,2AD5Cl-3Cl,0.01,1
47,0.010416291,0.0112037,8.733333333333333,2AD5Cl-3Cl,0.01,1
48,0.0043300176,-0.010356739,8.733333333333333,2AD5Cl-3Cl,0.01,1
49,0.017696504,0.0061514582,8.733333333333333,2AD5Cl-3Cl,0.01,1
50,-0.022586323,-0.0056500775,8.733333333333333,2AD5Cl-3Cl,0.01,1
51,0.024244633,-0.005565825,8.733333333333333,2AD5Cl-3Cl,0.01,1
52,0.020463943,0.022054534,8.733333333333333,2AD5Cl-3Cl,0.01,1
53,0.047129538,0.037878014,8.733333333333333,2AD5Cl-3Cl,0.01,1
54,0.0395148,0.030484447,8.733333333333333,2AD5Cl-3Cl,0.01,1
55,0.014552285,-0.009631051,8.733333333333333,2AD5Cl-3Cl,0.01,1
56,-0.019462235,-0.00848674,8.733333333333333,2AD5Cl-3Cl,0.01,1
57,-0.003064463,-0.011810839,8.733333333333333,2AD5Cl-3Cl,0.01,1
58,-0.013915612,-0.0056488547,8.733333333333333,2AD5Cl-3Cl,0.01,1
59,0.028890686,0.013487715,8.733333333333333,2AD5Cl-3Cl,0.01,1
60,0.04059196,0.029741207,8.733333333333333,2AD5Cl-3Cl,0.01,1
61,0.038755927,0.034276236,8.733333333333333,2AD5Cl-3Cl,0.01,1
62,0.020247515,-0.0030005053,8.733333333333333,2AD5Cl-3Cl,0.01,1
63,-1.5078125e-05,-0.008019401,8.733333333333333,2AD5Cl-3Cl,0.01,1
64,-0.025108114,-0.0039563505,8.733333333333333,2AD5Cl-3Cl,0.01,1
65,-0.021478383,-0.0082704555,8.733333333333333,2AD5Cl-3Cl,0.01,1
66,-0.014522784,-0.0073037227,8.733333333333333,2AD5Cl-3Cl,0.01,1
67,0.023316657,0.024779895,8.733333333333333,2AD5Cl-3Cl,0.01,1
68,0.028724039,0.026017858,8.733333333333333,2AD5Cl-3Cl,0.01,1
69,0.017146021,-0.0022595422,8.733333333333333,2AD5Cl-3Cl,0.01,1
70,-0.0012784909,-0.00666981,8.733333333333333,2AD5Cl-3Cl,0.01,1
71,0.026404692,0.025080113,8.733333333333333,2AD5Cl-3Cl,0.01,1
72,-0.0074112755,0.000587422,8.733333333333333,2AD5Cl-3Cl,0.01,1
73,0.015977671,0.008933277,8.733333333333333,2AD5Cl-3Cl,0.01,1
74,0.030450704,0.028779509,8.733333333333333,2AD5Cl-3Cl,0.01,1
75,0.026994381,0.038089324,8.733333333333333,2AD5Cl-3Cl,0.01,1
76,-0.036007185,0.0005502534,8.733333333333333,2AD5Cl-3Cl,0.01,1
77,0.0074980957,0.00012160079,8.733333333333333,2AD5Cl-3Cl,0.01,1
78,0.029215338,0.016776888,8.733333333333333,2AD5Cl-3Cl,0.01,1
79,0.007326866,-0.0074644443,8.733333333333333,2AD5Cl-3Cl,0.01,1
80,0.0209541,0.029123303,8.733333333333333,2AD5Cl-3Cl,0.01,1
81,0.032449894,-0.013494294,8.733333333333333,2AD5Cl-3Cl,0.1,0
82,0.04753442,0.010703815,8.733333333333333,2AD5Cl-3Cl,0.1,0
83,0.0007417165,0.019316256,8.733333333333333,2AD5Cl-3Cl,0.1,0
84,0.027132947,-0.0028852792,8.733333333333333,2AD5Cl-3Cl,0.1,0
85,0.032363117,0.0029652931,8.733333333333333,2AD5Cl-3Cl,0.1,0
86,0.01656071,-0.003892778,8.733333333333333,2AD5Cl-3Cl,0.1,0
87,0.030741494,0.025353117,8.733333333333333,2AD5Cl-3Cl,0.1,0
88,0.030365247,0.00683675,8.733333333333333,2AD5Cl-3Cl,0.1,0
89,0.02032006,0.009439674,8.733333333333333,2AD5Cl-3Cl,0.1,0
90,0.010058233,0.013560798,8.733333333333333,2AD5Cl-3Cl,0.1,0
91,-0.028487124,0.0036201407,8.733333333333333,2AD5Cl-3Cl,0.1,0
92,-0.013075589,-0.0054987865,8.733333333333333,2AD5Cl-3Cl,0.1,0
93,0.022752054,0.022313973,8.733333333333333,2AD5Cl-3Cl,0.1,0
94,0.020565972,0.03238131,8.733333333333333,2AD5Cl-3Cl,0.1,0
95,0.04718404,0.02861674,8.733333333333333,2AD5Cl-3Cl,0.1,0
96,0.025156481,0.037137657,8.733333333333333,2AD5Cl-3Cl,0.1,0
97,0.017854102,0.028674446,8.733333333333333,2AD5Cl-3Cl,0.1,0
98,-0.027535046,-0.0018361505,8.733333333333333,2AD5Cl-3Cl,0.1,0
99,-0.0069564185,-0.013743841,8.733333333333333,2AD5Cl-3Cl,0.1,0
100,-0.009990284,-0.0095625315,8.733333333333333,2AD5Cl-3Cl,0.1,0
101,0.01147313,-0.0016371262,8.733333333333333,2AD5Cl-3Cl,0.1,0
102,0.03796227,0.022367366,8.733333333333333,2AD5Cl-3Cl,0.1,0
