,emb1,emb2,Timestamp,Compound,Compound_Concentration,Growth_Condition_Binary
0,0.19048603,-0.2222356,8.733333333333333,2AD5Cl-3Cl,0.01,0
1,-0.035898335,-0.029394506,8.733333333333333,2AD5Cl-3Cl,0.01,0
2,0.07725587,-0.099776715,8.733333333333333,2AD5Cl-3Cl,0.01,0
3,0.18129979,-0.08027391,8.733333333333333,2AD5Cl-3Cl,0.01,0
4,0.059733775,-0.08302655,8.733333333333333,2AD5Cl-3Cl,0.01,0
5,0.09904141,-0.059698023,8.733333333333333,2AD5Cl-3Cl,0.01,0
6,0.05622651,0.09434618,8.733333333333333,2AD5Cl-3Cl,0.01,0
7,0.069716826,-0.035123207,8.733333333333333,2AD5Cl-3Cl,0.01,0
8,0.13432382,0.0064672655,8.733333333333333,2AD5Cl-3Cl,0.01,0
9,0.14163557,0.012284549,8.733333333333333,2AD5Cl-3Cl,0.01,0
10,-0.1196281,0.0962223,8.733333333333333,2AD5Cl-3Cl,0.01,0
11,-0.024558071,0.11105567,8.733333333333333,2AD5Cl-3Cl,0.01,0
12,-0.0345263,0.10455163,8.733333333333333,2AD5Cl-3Cl,0.01,0
13,0.07204491,0.053390034,8.733333333333333,2AD5Cl-3Cl,0.01,0
14,0.04781443,0.0916227,8.733333333333333,2AD5Cl-3Cl,0.01,0
15,-0.07042661,0.091865994,8.733333333333333,2AD5Cl-3Cl,0.01,0
16,0.07705314,0.011642082,8.733333333333333,2AD5Cl-3Cl,0.01,0
17,-0.05372512,0.039364662,8.733333333333333,2AD5Cl-3Cl,0.01,0
18,-0.11204866,0.02691918,8.733333333333333,2AD5Cl-3Cl,0.01,0
19,0.020667722,-0.0022486278,8.733333333333333,2AD5Cl-3Cl,0.01,0
20,-0.021303415,0.18179968,8.733333333333333,2AD5Cl-3Cl,0.01,0
21,0.07710767,-0.0017726938,8.733333333333333,2AD5Cl-3Cl,0.01,0
22,-0.10829058,0.08142607,8.733333333333333,2AD5Cl-3Cl,0.01,0
23,-0.07675733,0.11772564,8.733333333333333,2AD5Cl-3Cl,0.01,0
24,-0.0021504373,-0.11502703,8.733333333333333,2AD5Cl-3Cl,0.01,0
25,-0.05067837,0.043367993,8.733333333333333,2AD5Cl-3Cl,0.01,0
26,0.082508385,0.05385547,8.733333333333333,2AD5Cl-3Cl,0.01,0
